厂商id,年,月份,厂商名称,品牌id,子品牌id,子品牌名称,销量,页码,dt
9,2020,1,克莱斯勒（进口）,9,3082,大捷龙混动,60,7,20230112
217,2020,1,DS汽车,217,3061,DS 7,44,7,20230112
193,2020,1,开瑞汽车,193,2128,开瑞K50,39,7,20230112
108,2020,1,道奇（进口）,108,2035,Challenger,69,7,20230112
234,2020,1,Audi Sport,234,1453,奥迪RS 5,33,7,20230112
395,2020,1,东风本田,395,3493,东风本田X-NV,67,7,20230112
329,2020,1,江淮大众,329,3129,思皓E20X,66,7,20230112
390,2020,1,汉龙汽车,390,3664,旷世,66,7,20230112
149,2020,1,福迪,149,2078,揽福,62,8,20230112
162,2020,1,天津一汽,162,3093,骏派D80,32,8,20230112
216,2020,1,北汽威旺,216,2664,北汽威旺M50F,58,8,20230112
215,2020,1,东风裕隆,215,1749,优6 SUV,31,8,20230112
303,2020,1,云度,303,2849,云度π1,26,8,20230112
163,2020,1,昌河铃木,163,1656,北斗星X5,25,8,20230112
170,2020,1,力帆汽车,170,2488,迈威,17,8,20230112
455,2020,1,速达,455,4165,速达SA01,36,8,20230112
106,2020,1,华泰汽车,106,1956,圣达菲,21,8,20230112
326,2020,1,爱驰,326,3101,爱驰U5,33,8,20230112
229,2020,1,迈凯伦,229,3187,迈凯伦600LT,18,8,20230112
328,2020,1,新特汽车,328,3110,SITECH DEV 1,30,8,20230112
332,2020,1,云雀汽车,332,3153,全界Q1,29,8,20230112
82,2020,1,华晨雷诺,82,3286,观境,20,8,20230112
29,2020,1,阿斯顿·马丁,29,2260,DB11,18,8,20230112
156,2020,1,smart(进口),156,377,smart fortwo,22,8,20230112
309,2020,1,瑞驰新能源,309,3922,瑞驰S513,24,8,20230112
339,2020,1,广汽三菱,339,3253,祺智EV,21,8,20230112
249,2020,1,北汽幻速,249,2618,北汽幻速S3L,15,8,20230112
376,2020,1,雷丁,376,3543,雷丁i3,17,8,20230112
66,2020,1,兰博基尼,66,1385,Urus,12,9,20230112
37,2020,1,法拉利,37,2156,法拉利488,6,9,20230112
408,2020,1,野马新能源,408,3293,野马EC60,14,9,20230112
218,2020,1,GMC,218,1168,SAVANA,14,9,20230112
43,2020,1,雷诺,43,1947,雷诺Espace,9,9,20230112
315,2020,1,领途汽车,315,2973,领途E行,10,9,20230112
6,2020,1,雪铁龙（进口）,6,588,C4毕加索,9,9,20230112
246,2020,1,福汽新龙马,246,2385,启腾V60,9,9,20230112
201,2020,1,九龙汽车,201,2039,艾菲,7,9,20230112
291,2020,1,比速汽车,291,2666,比速T3,4,9,20230112
16,2020,1,凯迪拉克（进口）,16,210,凯雷德,6,9,20230112
369,2020,1,北汽新能源,369,2928,LITE,5,9,20230112
228,2020,1,东风·郑州日产,228,1087,帅客EV,4,9,20230112
432,2020,1,大运汽车,432,4012,悦虎,4,9,20230112
437,2020,1,开沃汽车,437,4035,开沃D07,4,9,20230112
154,2020,1,路特斯,154,1158,路特斯Evora,3,9,20230112
92,2020,1,双龙,92,1167,柯兰多,3,9,20230112
271,2020,1,华颂,271,2108,华颂7,3,9,20230112
336,2020,1,红星汽车,336,3192,闪闪X2,3,9,20230112
102,2020,1,长城,102,757,长城C30,2,9,20230112
198,2020,2,吉利汽车,198,2325,吉利博越,2379,1,20230112
40,2020,2,上汽大众,40,549,朗逸,3547,1,20230112
30,2020,2,一汽-大众,30,573,宝来,2667,1,20230112
94,2020,2,东风日产,94,428,轩逸,4463,1,20230112
76,2020,2,一汽丰田,76,492,卡罗拉,4206,1,20230112
175,2020,2,广汽丰田,175,1972,雷凌,2868,1,20230112
127,2020,2,上汽通用五菱,127,841,五菱宏光,3414,1,20230112
55,2020,2,长安,55,3392,长安CS75 PLUS,2308,1,20230112
230,2020,2,长城汽车,230,776,哈弗H6,3573,1,20230112
164,2020,2,北京奔驰,164,539,奔驰C级,2070,1,20230112
58,2020,2,上汽通用别克,58,814,英朗,2128,1,20230112
69,2020,2,一汽-大众奥迪,69,9,奥迪A4L,1542,1,20230112
75,2020,2,广汽本田,75,86,雅阁,2033,1,20230112
406,2020,2,上汽通用五菱,406,2641,宝骏510,1194,1,20230112
101,2020,2,北京现代,101,2343,领动,1253,1,20230112
135,2020,2,东风本田,135,395,思域,1437,1,20230112
120,2020,2,华晨宝马,120,119,宝马3系,1171,1,20230112
182,2020,2,上汽集团,182,3248,荣威i5,1177,1,20230112
89,2020,2,比亚迪,89,3449,比亚迪宋Pro,932,1,20230112
24,2020,2,雷克萨斯,24,425,雷克萨斯ES,1464,1,20230112
153,2020,2,上海通用雪佛兰,153,3322,科鲁泽,1305,2,20230112
74,2020,2,奇瑞,74,3074,瑞虎8,798,2,20230112
206,2020,2,广汽乘用车,206,2136,传祺GS4,838,2,20230112
223,2020,2,长安汽车,223,3450,长安欧尚X7,1354,2,20230112
144,2020,2,长安福特,144,1695,福睿斯,627,2,20230112
189,2020,2,长安马自达,189,1847,昂克赛拉,1000,2,20230112
54,2020,2,起亚,54,859,智跑,654,2,20230112
388,2020,2,特斯拉中国,388,3654,Model 3,2132,2,20230112
279,2020,2,东风小康,279,2453,风光580,731,2,20230112
183,2020,2,上汽大众斯柯达,183,457,明锐,466,2,20230112
8,2020,2,奔驰（进口）,8,2180,奔驰GLE级,441,2,20230112
157,2020,2,上汽通用凯迪拉克,157,2487,XT5,536,2,20230112
7,2020,2,红旗,7,2593,红旗H5,682,2,20230112
296,2020,2,领克,296,2863,领克03,848,2,20230112
244,2020,2,沃尔沃亚太,244,2079,沃尔沃XC60,492,2,20230112
1,2020,2,宝马（进口）,1,411,宝马X5（进口）,272,2,20230112
184,2020,2,上汽名爵,184,660,名爵6,637,2,20230112
354,2020,2,一汽-大众捷达,354,3386,捷达VS5,963,2,20230112
68,2020,2,保时捷,68,372,卡宴,425,2,20230112
61,2020,2,东风风行,61,46,菱智,532,2,20230112
327,2020,2,奇瑞汽车,327,3102,捷途X70,531,3,20230112
90,2020,2,江淮汽车,90,3629,嘉悦A5,751,3,20230112
231,2020,2,北京汽车,231,2508,绅宝X35,240,3,20230112
227,2020,2,观致,227,2329,观致5,507,3,20230112
302,2020,2,长城汽车,302,2708,魏牌VV5,310,3,20230112
177,2020,2,一汽奔腾,177,2696,奔腾X40,370,3,20230112
318,2020,2,埃安,318,3297,AION S,668,3,20230112
194,2020,2,东风风神,194,3429,奕炫,510,3,20230112
207,2020,2,东风日产启辰,207,2888,启辰D60,416,3,20230112
226,2020,2,广汽三菱,226,2624,欧蓝德,503,3,20230112
308,2020,2,长安凯程,308,1282,欧诺S,333,3,20230112
292,2020,2,蔚来汽车,292,3338,蔚来ES6,622,3,20230112
22,2020,2,丰田（进口）,22,862,埃尔法,175,3,20230112
219,2020,2,上汽大通MAXUS,219,3317,上汽MAXUS G50,216,3,20230112
93,2020,2,MINI,93,403,MINI,292,3,20230112
286,2020,2,华晨鑫源,286,1785,金杯小海狮X30,349,3,20230112
276,2020,2,广汽菲亚特克莱斯勒,276,2706,指南者,190,3,20230112
253,2020,2,江铃福特,253,3328,领界,305,3,20230112
340,2020,2,长城汽车,340,3346,欧拉黑猫,311,3,20230112
300,2020,2,威马,300,2976,威马EX5,309,3,20230112
344,2020,2,理想汽车,344,3274,理想ONE,307,4,20230112
143,2020,2,长安铃木,143,1983,启悦,290,4,20230112
36,2020,2,林肯,36,1359,林肯MKZ,78,4,20230112
65,2020,2,路虎（进口）,65,216,揽胜,107,4,20230112
2,2020,2,奥迪（进口）,2,237,奥迪A8,121,4,20230112
358,2020,2,奇瑞新能源,358,2645,小蚂蚁,224,4,20230112
4,2020,2,大众（进口）,4,356,途锐,151,4,20230112
259,2020,2,北汽新能源,259,2337,北汽新能源EU,155,4,20230112
269,2020,2,东风英菲尼迪,269,2149,英菲尼迪QX50,133,4,20230112
530,2020,2,瑞风汽车,530,1994,瑞风M3,148,4,20230112
134,2020,2,东风标致,134,721,标致408,60,4,20230112
204,2020,2,福建奔驰,204,828,奔驰威霆,103,4,20230112
232,2020,2,特斯拉,232,2498,Model 3（进口）,152,4,20230112
270,2020,2,奇瑞捷豹路虎,270,2083,揽胜极光,123,4,20230112
200,2020,2,东风小康,200,804,小康K01,145,4,20230112
290,2020,2,SWM斯威汽车,290,3651,SWM斯威G05,110,4,20230112
44,2020,2,斯巴鲁,44,229,森林人,116,4,20230112
79,2020,2,中华,79,2168,中华V3,110,4,20230112
274,2020,2,宝沃,274,2463,宝沃BX5,117,4,20230112
211,2020,2,北京越野,211,905,北京BJ40,139,4,20230112
35,2020,2,沃尔沃（进口）,35,238,沃尔沃XC90,132,5,20230112
320,2020,2,小鹏汽车,320,2983,小鹏汽车G3,164,5,20230112
202,2020,2,AMG,202,1602,AMG G,44,5,20230112
285,2020,2,奇瑞捷豹,285,2953,捷豹XEL,86,5,20230112
50,2020,2,北汽昌河,50,2941,昌河Q7,93,5,20230112
331,2020,2,广汽丰田,331,3580,广汽丰田iA5,143,5,20230112
53,2020,2,东南,53,3581,东南DX5,65,5,20230112
57,2020,2,东风雪铁龙,57,2818,天逸 C5 AIRCROSS,88,5,20230112
264,2020,2,凯翼,264,2374,凯翼X3,59,5,20230112
283,2020,2,广汽讴歌,283,2541,讴歌CDX,61,5,20230112
338,2020,2,合众汽车,338,3204,哪吒N01,108,5,20230112
357,2020,2,星途,357,3532,星途追风,57,5,20230112
277,2020,2,东风雷诺,277,3432,雷诺e诺,38,5,20230112
399,2020,2,梅赛德斯-迈巴赫,399,2092,迈巴赫S级,99,5,20230112
20,2020,2,三菱（进口）,20,509,帕杰罗（进口）,88,5,20230112
214,2020,2,海马汽车,214,3091,海马8S,77,5,20230112
398,2020,2,中国重汽VGV,398,3802,VGV U70,78,5,20230112
70,2020,2,捷豹,70,1798,捷豹F-PACE,62,5,20230112
91,2020,2,Jeep,91,502,牧马人,59,5,20230112
203,2020,2,野马汽车,203,3382,博骏,59,5,20230112
63,2020,2,日产（进口）,63,277,途乐,62,6,20230112
80,2020,2,猎豹汽车,80,2544,猎豹CS9,20,6,20230112
