年,月份,品牌id,厂商id,子品牌id,车系id,车系名称,级别,类型,销量,指导价,页码,dt
2020,1,12,94,253,253,骐达,紧凑型,两厢,5020,9.99-13.59万元,6,20230112
2020,1,24,184,2683,2683,名爵ZS,小型,SUV,4975,8.58-9.98万元,6,20230112
2020,1,13,244,2079,2079,沃尔沃XC60,中型,SUV,4949,37.39-47.49万元,6,20230112
2020,1,4,1,411,411,宝马X5（进口）,中大型,SUV,4934,69.99-83.99万元,6,20230112
2020,1,54,74,2323,2323,艾瑞泽5,紧凑型,三厢,4932,5.99-8.58万元,6,20230112
2020,1,276,406,2955,2955,宝骏360,紧凑型,MPV,4930,5.98-8.08万元,6,20230112
2020,1,136,230,1993,1993,哈弗H6 Coupe,紧凑型,SUV,4759,7.99-11.90万元,6,20230112
2020,1,2,135,3144,3144,英仕派,中型,三厢,4736,17.99-25.59万元,6,20230112
2020,1,48,90,3629,3629,嘉悦A5,紧凑型,掀背,4693,8.48-11.58万元,6,20230112
2020,1,3,8,2180,2180,奔驰GLE级,中大型,SUV,4618,69.98-88.05万元,6,20230112
2020,1,20,101,2559,2559,悦纳,小型,三厢,4600,7.28-9.68万元,6,20230112
2020,1,17,54,1548,1548,起亚K3,紧凑型,三厢,4578,10.98-13.18万元,6,20230112
2020,1,2,75,2519,2519,冠道,中型,SUV,4541,22.48-33.28万元,6,20230112
2020,1,12,94,2775,2775,劲客,小型,SUV,4512,11.98-13.78万元,6,20230112
2020,1,12,94,78,78,LANNIA蓝鸟,紧凑型,三厢,4415,12.59-13.39万元,6,20230112
2020,1,33,194,3429,3429,奕炫,紧凑型,三厢,4399,6.49-9.39万元,7,20230112
2020,1,57,182,2921,2921,荣威RX3,小型,SUV,4394,7.58-9.68万元,7,20230112
2020,1,8,58,2175,2175,威朗,紧凑型,三厢,4361,12.89-15.89万元,7,20230112
2020,1,15,189,2598,2598,马自达CX-4,紧凑型,SUV,4291,14.88-21.58万元,7,20230112
2020,1,8,58,388,388,君越,中型,三厢,4180,21.98-28.98万元,7,20230112
2020,1,10,253,3328,3328,领界,紧凑型,SUV,4147,10.98-16.48万元,7,20230112
2020,1,21,157,3218,3218,XT4,紧凑型,SUV,4026,26.17-35.47万元,7,20230112
2020,1,136,230,1670,1670,哈弗H2,小型,SUV,4005,7.59-9.59万元,7,20230112
2020,1,19,183,3072,3072,柯米克,小型,SUV,3999,11.19-11.99万元,7,20230112
2020,1,15,189,1926,1926,阿特兹,中型,三厢,3983,17.58-23.98万元,7,20230112
2020,1,33,194,1939,1939,风神AX7,紧凑型,SUV,3895,10.69-11.39万元,7,20230112
2020,1,10,144,332,332,福克斯,紧凑型,三厢,3836,11.98-14.58万元,7,20230112
2020,1,66,177,3145,3145,奔腾T77,紧凑型,SUV,3682,10.58-14.18万元,7,20230112
2020,1,132,223,2949,2949,长安欧尚X70A,紧凑型,SUV,3673,5.99-7.49万元,7,20230112
2020,1,9,76,61,61,威驰,小型,三厢,3625,7.38-9.48万元,7,20230112
2020,1,65,127,3716,3716,五菱宏光PLUS,紧凑型,MPV,3620,5.88-7.98万元,7,20230112
2020,1,1,69,3225,3225,奥迪Q2L,小型,SUV,3548,22.88-26.88万元,7,20230112
2020,1,17,54,2086,2086,起亚KX3傲跑,小型,SUV,3521,10.88-13.68万元,7,20230112
2020,1,22,153,2788,2788,探界者,中型,SUV,3496,16.99-23.99万元,7,20230112
2020,1,233,354,3385,3385,捷达VA3,紧凑型,三厢,3493,6.58-9.28万元,7,20230112
2020,1,192,302,2708,2708,魏牌VV5,紧凑型,SUV,3475,12.58-14.78万元,8,20230112
2020,1,136,230,2662,2662,哈弗H4,紧凑型,SUV,3419,7.39-10.59万元,8,20230112
2020,1,13,244,2705,2705,沃尔沃S90,中大型,三厢,3365,40.69-50.59万元,8,20230112
2020,1,136,230,3428,3428,哈弗F7x,紧凑型,SUV,3337,11.99-15.49万元,8,20230112
2020,1,22,153,2611,2611,科沃兹,紧凑型,三厢,3337,8.39-9.99万元,8,20230112
2020,1,4,120,2716,2716,宝马1系,紧凑型,三厢,3333,20.58-24.99万元,8,20230112
2020,1,77,68,372,372,卡宴,中大型,SUV,3294,92.30-244.80万元,8,20230112
2020,1,19,183,1573,1573,昕锐,紧凑型,三厢,3265,9.99万元,8,20230112
2020,1,57,182,2680,2680,荣威i6,紧凑型,三厢,3206,8.98-11.28万元,8,20230112
2020,1,187,296,2673,2673,领克01,紧凑型,SUV,3179,17.98-20.68万元,8,20230112
2020,1,276,406,3529,3529,宝骏RC-6,中型,三厢,3136,8.48-12.38万元,8,20230112
2020,1,2,135,1528,1528,艾力绅,中型,MPV,3019,27.98-33.18万元,8,20230112
2020,1,90,24,1808,1808,雷克萨斯NX,中型,SUV,3012,31.88-54.88万元,8,20230112
2020,1,9,175,2720,2720,致享,小型,三厢,2993,8.78-9.38万元,8,20230112
2020,1,90,24,267,267,雷克萨斯RX,中大型,SUV,2988,40.50-80.10万元,8,20230112
2020,1,28,55,3060,3060,逸动DT,紧凑型,三厢,2943,5.79-7.39万元,8,20230112
2020,1,4,1,335,335,宝马7系,大型,三厢,2900,82.80-261.20万元,8,20230112
2020,1,10,144,2091,2091,锐界,中型,SUV,2894,22.98-30.98万元,8,20230112
2020,1,3,164,3774,3774,奔驰GLB,紧凑型,SUV,2883,29.09-36.48万元,8,20230112
2020,1,209,327,3133,3133,捷途X90,中型,SUV,2876,8.99-17.29万元,8,20230112
2020,1,9,76,2979,2979,奕泽IZOA,小型,SUV,2873,14.98-18.98万元,9,20230112
2020,1,28,55,3721,3721,锐程CC,中型,三厢,2872,9.79-11.29万元,9,20230112
2020,1,112,206,3287,3287,传祺M6,紧凑型,MPV,2871,10.98-15.98万元,9,20230112
2020,1,34,61,46,46,菱智,中型,MPV,2864,5.99-9.99万元,9,20230112
2020,1,2,75,87,87,奥德赛,中型,MPV,2845,23.58-43.98万元,9,20230112
2020,1,6,40,567,567,POLO,小型,两厢,2841,9.09-12.49万元,9,20230112
2020,1,54,74,3117,3117,艾瑞泽GX,紧凑型,三厢,2807,8.59-12.98万元,9,20230112
2020,1,192,302,3200,3200,魏牌VV6,紧凑型,SUV,2807,14.80-17.50万元,9,20230112
2020,1,77,68,917,917,Macan,中型,SUV,2794,57.30-85.30万元,9,20230112
2020,1,136,230,3124,3124,哈弗F5,紧凑型,SUV,2772,7.98-12.58万元,9,20230112
2020,1,15,189,1725,1725,CX-5,紧凑型,SUV,2688,17.58-24.58万元,9,20230112
2020,1,86,276,2706,2706,指南者,紧凑型,SUV,2675,13.98-20.98万元,9,20230112
2020,1,2,75,88,88,飞度,小型,两厢,2608,8.18-10.88万元,9,20230112
2020,1,138,388,3654,3654,Model 3,中型,三厢,2605,22.99-32.99万元,9,20230112
2020,1,6,30,765,765,一汽-大众CC,中型,三厢,2573,24.99-29.99万元,9,20230112
2020,1,21,157,2166,2166,CT6,中大型,三厢,2566,39.97-48.97万元,9,20230112
2020,1,137,231,3489,3489,北京X3,小型,SUV,2479,5.99-8.79万元,9,20230112
2020,1,3,8,305,305,奔驰S级,大型,三厢,2403,94.68-184.53万元,9,20230112
2020,1,201,318,3297,3297,AION S,紧凑型,三厢,2362,13.98-19.16万元,9,20230112
2020,1,112,206,2514,2514,传祺GS8,中型,SUV,2313,18.68-26.98万元,9,20230112
2020,1,24,184,3214,3214,名爵HS,紧凑型,SUV,2290,10.98-16.98万元,10,20230112
2020,1,187,296,3075,3075,领克02,紧凑型,SUV,2253,11.98-16.58万元,10,20230112
2020,1,125,207,3197,3197,启辰T60,小型,SUV,2250,8.68-11.28万元,10,20230112
2020,1,112,206,2380,2380,传祺M8,中大型,MPV,2249,17.98-36.98万元,10,20230112
2020,1,32,198,2817,2817,吉利嘉际,紧凑型,MPV,2226,11.98-14.28万元,10,20230112
2020,1,19,183,2959,2959,柯珞克,紧凑型,SUV,2202,14.99-15.89万元,10,20230112
2020,1,4,120,3017,3017,宝马5系混动,中大型,三厢,2140,49.99-53.69万元,10,20230112
2020,1,6,4,356,356,途锐,中大型,SUV,2128,53.38-78.28万元,10,20230112
2020,1,17,54,3134,3134,奕跑,小型,SUV,2094,6.98-8.38万元,10,20230112
2020,1,28,55,3226,3226,长安CS85 COUPE,中型,SUV,2082,11.99-16.49万元,10,20230112
2020,1,4,1,1652,1652,宝马3系GT,中型,掀背,2061,35.98-43.98万元,10,20230112
2020,1,9,22,862,862,埃尔法,中大型,MPV,2050,83.90-92.80万元,10,20230112
2020,1,276,406,2830,2830,宝骏310W,紧凑型,旅行车,2013,5.28-7.28万元,10,20230112
2020,1,17,54,2821,2821,焕驰,小型,三厢,1979,6.69-7.09万元,10,20230112
2020,1,167,279,2155,2155,风光330,,微面,1961,4.19-6.88万元,10,20230112
2020,1,8,58,3399,3399,昂科拉GX,紧凑型,SUV,1929,15.59-18.59万元,10,20230112
2020,1,8,58,3723,3723,昂科旗,中大型,SUV,1922,29.99-35.99万元,10,20230112
2020,1,10,144,677,677,蒙迪欧,中型,三厢,1922,15.98-21.88万元,10,20230112
2020,1,124,219,3317,3317,上汽MAXUS G50,紧凑型,MPV,1909,8.78-16.58万元,10,20230112
2020,1,276,406,2502,2502,宝骏E100,微型,两厢,1862,4.98-5.48万元,10,20230112
2020,1,32,198,3652,3652,吉利ICON,小型,SUV,1855,10.99-12.99万元,11,20230112
2020,1,112,206,1957,1957,传祺GA6,中型,三厢,1770,10.88-16.88万元,11,20230112
2020,1,18,226,3179,3179,奕歌,紧凑型,SUV,1744,12.98-18.58万元,11,20230112
2020,1,65,127,58,58,五菱之光,,微面,1740,3.51-3.68万元,11,20230112
2020,1,106,269,2149,2149,英菲尼迪QX50,中型,SUV,1734,33.38-46.98万元,11,20230112
2020,1,192,302,2707,2707,魏牌VV7,中型,SUV,1723,16.98-19.28万元,11,20230112
2020,1,276,406,3264,3264,宝骏RS-5,紧凑型,SUV,1674,9.78-13.58万元,11,20230112
2020,1,6,40,3482,3482,途昂X,中大型,SUV,1663,28.50-39.50万元,11,20230112
2020,1,65,127,698,698,五菱荣光,,微面,1653,5.10-5.76万元,11,20230112
2020,1,22,153,3194,3194,沃兰多,紧凑型,两厢,1646,13.69-15.99万元,11,20230112
2020,1,21,157,3523,3523,XT6,中大型,SUV,1645,39.27-55.42万元,11,20230112
2020,1,32,198,3083,3083,吉利博瑞,中型,三厢,1639,13.18-14.38万元,11,20230112
2020,1,6,40,3283,3283,帕萨特混动,中型,三厢,1634,23.32-24.22万元,11,20230112
2020,1,13,35,238,238,沃尔沃XC90,中大型,SUV,1598,63.89-78.19万元,11,20230112
2020,1,4,120,3659,3659,宝马X2,紧凑型,SUV,1592,28.58-33.29万元,11,20230112
2020,1,8,58,2794,2794,别克GL6,紧凑型,MPV,1573,14.99-16.99万元,11,20230112
2020,1,94,65,216,216,揽胜,中大型,SUV,1564,142.80-332.80万元,11,20230112
2020,1,209,327,3719,3719,捷途X70M,中型,SUV,1539,6.49-9.89万元,11,20230112
2020,1,19,183,2389,2389,柯迪亚克,中型,SUV,1536,18.69-24.39万元,11,20230112
2020,1,12,94,1162,1162,楼兰,中型,SUV,1531,23.88-28.38万元,11,20230112
2020,1,3,8,2178,2178,奔驰GLC级轿跑（进口）,中型,轿跑,1529,47.18-56.67万元,12,20230112
2020,1,65,127,2132,2132,五菱荣光V,,微面,1520,4.48-4.98万元,12,20230112
2020,1,2,135,2678,2678,UR-V,中型,SUV,1510,24.68-32.98万元,12,20230112
2020,1,209,327,3415,3415,捷途X95,中型,SUV,1506,14.69-16.99万元,12,20230112
2020,1,86,276,2317,2317,自由光,中型,SUV,1493,19.68-31.98万元,12,20230112
2020,1,136,230,1958,1958,哈弗H9,中大型,SUV,1492,21.48-27.98万元,12,20230112
2020,1,12,63,277,277,途乐,大型,SUV,1489,79.80-83.80万元,12,20230112
2020,1,176,292,3338,3338,蔚来ES6,中型,SUV,1483,38.60-55.40万元,12,20230112
2020,1,21,157,3594,3594,CT5,中型,三厢,1482,27.97-36.07万元,12,20230112
2020,1,9,76,2729,2729,威驰FS,小型,两厢,1477,8.58-9.28万元,12,20230112
2020,1,97,93,403,403,MINI,小型,两厢,1465,19.98-37.83万元,12,20230112
2020,1,276,406,2512,2512,宝骏310,小型,两厢,1462,4.09-5.29万元,12,20230112
2020,1,13,244,3402,3402,沃尔沃XC40,紧凑型,SUV,1461,26.98-35.48万元,12,20230112
2020,1,189,308,1282,1282,欧诺S,,微面,1418,4.69-5.44万元,12,20230112
2020,1,137,231,3641,3641,北京EU5,紧凑型,三厢,1414,10.99-17.19万元,12,20230112
2020,1,34,61,2382,2382,风行SX6,紧凑型,SUV,1388,5.99-7.69万元,12,20230112
2020,1,13,244,1843,1843,沃尔沃S60,中型,三厢,1388,29.69-38.49万元,12,20230112
2020,1,35,53,3581,3581,东南DX5,小型,SUV,1380,6.99-9.99万元,12,20230112
2020,1,94,270,3909,3909,发现运动版,中型,SUV,1371,35.68-45.58万元,12,20230112
2020,1,1,2,237,237,奥迪A8,大型,三厢,1362,82.98-197.18万元,12,20230112
2020,1,3,204,2597,2597,奔驰V级,中大型,MPV,1314,47.88-64.68万元,13,20230112
2020,1,396,530,1994,1994,瑞风M3,紧凑型,MPV,1296,6.58-9.48万元,13,20230112
2020,1,66,177,3374,3374,奔腾T99,中大型,SUV,1274,13.49-18.69万元,13,20230112
2020,1,28,55,2332,2332,长安CS15,小型,SUV,1258,6.19-7.69万元,13,20230112
2020,1,221,340,3346,3346,欧拉黑猫,微型,两厢,1254,8.48-9.98万元,13,20230112
2020,1,19,183,1767,1767,速派,中型,掀背,1253,16.99-19.49万元,13,20230112
2020,1,22,153,1572,1572,创酷,小型,SUV,1250,10.99-12.89万元,13,20230112
2020,1,103,44,229,229,森林人,紧凑型,SUV,1244,22.38-26.58万元,13,20230112
